epoch,lr-Adam,step,train_loss,val_loss
,0.01,49,,
,0.01,99,,
,0.01,149,,
,0.01,199,,
,0.01,249,,
,0.01,299,,
,0.01,349,,
,0.01,399,,
,0.01,449,,
,0.01,499,,
,0.01,549,,
,0.01,599,,
,0.01,649,,
,0.01,699,,
,0.01,749,,
,0.01,799,,
,0.01,849,,
,0.01,899,,
,0.01,949,,
,0.01,999,,
,0.01,1049,,
,0.01,1099,,
,0.01,1149,,
,0.01,1199,,
,0.01,1249,,
,0.01,1299,,
,0.01,1349,,
,0.01,1399,,
,0.01,1449,,
,0.01,1499,,
,0.01,1549,,
,0.01,1599,,
,0.01,1649,,
,0.01,1699,,
,0.01,1749,,
,0.01,1799,,
,0.01,1849,,
,0.01,1899,,
,0.01,1949,,
,0.01,1999,,
,0.01,2049,,
,0.01,2099,,
,0.01,2149,,
,0.01,2199,,
,0.01,2249,,
,0.01,2299,,
,0.01,2349,,
,0.01,2399,,
,0.01,2449,,
,0.01,2499,,
,0.01,2549,,
,0.01,2599,,
,0.01,2649,,
,0.01,2699,,
,0.01,2749,,
,0.01,2799,,
,0.01,2849,,
,0.01,2899,,
,0.01,2949,,
,0.01,2999,,
,0.01,3049,,
,0.01,3099,,
,0.01,3149,,
,0.01,3199,,
,0.01,3249,,
,0.01,3299,,
,0.01,3349,,
,0.01,3399,,
,0.01,3449,,
,0.01,3499,,
0,,3509,,33.53205108642578
0,,3509,48.18476104736328,
,0.01,3549,,
,0.01,3599,,
,0.01,3649,,
,0.01,3699,,
,0.01,3749,,
,0.01,3799,,
,0.01,3849,,
,0.01,3899,,
,0.01,3949,,
,0.01,3999,,
,0.01,4049,,
,0.01,4099,,
,0.01,4149,,
,0.01,4199,,
,0.01,4249,,
,0.01,4299,,
,0.01,4349,,
,0.01,4399,,
,0.01,4449,,
,0.01,4499,,
,0.01,4549,,
,0.01,4599,,
,0.01,4649,,
,0.01,4699,,
,0.01,4749,,
,0.01,4799,,
,0.01,4849,,
,0.01,4899,,
,0.01,4949,,
,0.01,4999,,
,0.01,5049,,
,0.01,5099,,
,0.01,5149,,
,0.01,5199,,
,0.01,5249,,
,0.01,5299,,
,0.01,5349,,
,0.01,5399,,
,0.01,5449,,
,0.01,5499,,
,0.01,5549,,
,0.01,5599,,
,0.01,5649,,
,0.01,5699,,
,0.01,5749,,
,0.01,5799,,
,0.01,5849,,
,0.01,5899,,
,0.01,5949,,
,0.01,5999,,
,0.01,6049,,
,0.01,6099,,
,0.01,6149,,
,0.01,6199,,
,0.01,6249,,
,0.01,6299,,
,0.01,6349,,
,0.01,6399,,
,0.01,6449,,
,0.01,6499,,
,0.01,6549,,
,0.01,6599,,
,0.01,6649,,
,0.01,6699,,
,0.01,6749,,
,0.01,6799,,
,0.01,6849,,
,0.01,6899,,
,0.01,6949,,
,0.01,6999,,
1,,7019,,29.402090072631836
1,,7019,33.225399017333984,
,0.01,7049,,
,0.01,7099,,
,0.01,7149,,
,0.01,7199,,
,0.01,7249,,
,0.01,7299,,
,0.01,7349,,
,0.01,7399,,
,0.01,7449,,
,0.01,7499,,
,0.01,7549,,
,0.01,7599,,
,0.01,7649,,
,0.01,7699,,
,0.01,7749,,
,0.01,7799,,
,0.01,7849,,
,0.01,7899,,
,0.01,7949,,
,0.01,7999,,
,0.01,8049,,
,0.01,8099,,
,0.01,8149,,
,0.01,8199,,
,0.01,8249,,
,0.01,8299,,
,0.01,8349,,
