epoch,lr-Adam,step,test_loss,train_loss,val_loss
,0.0005,49,,,
,0.0005,99,,,
,0.0005,149,,,
,0.0005,199,,,
,0.0005,249,,,
,0.0005,299,,,
,0.0005,349,,,
,0.0005,399,,,
,0.0005,449,,,
,0.0005,499,,,
,0.0005,549,,,
,0.0005,599,,,
,0.0005,649,,,
,0.0005,699,,,
,0.0005,749,,,
,0.0005,799,,,
,0.0005,849,,,
,0.0005,899,,,
,0.0005,949,,,
,0.0005,999,,,
,0.0005,1049,,,
,0.0005,1099,,,
,0.0005,1149,,,
,0.0005,1199,,,
,0.0005,1249,,,
0,,1249,,,155.3947296142578
0,,1249,,215.59954833984375,
,0.0005,1299,,,
,0.0005,1349,,,
,0.0005,1399,,,
,0.0005,1449,,,
,0.0005,1499,,,
,0.0005,1549,,,
,0.0005,1599,,,
,0.0005,1649,,,
,0.0005,1699,,,
,0.0005,1749,,,
,0.0005,1799,,,
,0.0005,1849,,,
,0.0005,1899,,,
,0.0005,1949,,,
,0.0005,1999,,,
,0.0005,2049,,,
,0.0005,2099,,,
,0.0005,2149,,,
,0.0005,2199,,,
,0.0005,2249,,,
,0.0005,2299,,,
,0.0005,2349,,,
,0.0005,2399,,,
,0.0005,2449,,,
,0.0005,2499,,,
1,,2499,,,49.4744987487793
1,,2499,,106.8989486694336,
,0.0005,2549,,,
,0.0005,2599,,,
,0.0005,2649,,,
,0.0005,2699,,,
,0.0005,2749,,,
,0.0005,2799,,,
,0.0005,2849,,,
,0.0005,2899,,,
,0.0005,2949,,,
,0.0005,2999,,,
,0.0005,3049,,,
,0.0005,3099,,,
,0.0005,3149,,,
,0.0005,3199,,,
,0.0005,3249,,,
,0.0005,3299,,,
,0.0005,3349,,,
,0.0005,3399,,,
,0.0005,3449,,,
,0.0005,3499,,,
,0.0005,3549,,,
,0.0005,3599,,,
,0.0005,3649,,,
,0.0005,3699,,,
,0.0005,3749,,,
2,,3749,,,41.579673767089844
2,,3749,,40.90085220336914,
,0.0005,3799,,,
,0.0005,3849,,,
,0.0005,3899,,,
,0.0005,3949,,,
,0.0005,3999,,,
,0.0005,4049,,,
,0.0005,4099,,,
,0.0005,4149,,,
,0.0005,4199,,,
,0.0005,4249,,,
,0.0005,4299,,,
,0.0005,4349,,,
,0.0005,4399,,,
,0.0005,4449,,,
