epoch,lr-Adam,step,test_loss,train_loss,val_loss
,0.001,49,,,
,0.001,99,,,
,0.001,149,,,
,0.001,199,,,
,0.001,249,,,
,0.001,299,,,
,0.001,349,,,
,0.001,399,,,
,0.001,449,,,
,0.001,499,,,
,0.001,549,,,
,0.001,599,,,
,0.001,649,,,
,0.001,699,,,
,0.001,749,,,
,0.001,799,,,
,0.001,849,,,
,0.001,899,,,
,0.001,949,,,
,0.001,999,,,
0,,999,,,205.3731689453125
0,,999,,216.32337951660156,
,0.001,1049,,,
,0.001,1099,,,
,0.001,1149,,,
,0.001,1199,,,
,0.001,1249,,,
,0.001,1299,,,
,0.001,1349,,,
,0.001,1399,,,
,0.001,1449,,,
,0.001,1499,,,
,0.001,1549,,,
,0.001,1599,,,
,0.001,1649,,,
,0.001,1699,,,
,0.001,1749,,,
,0.001,1799,,,
,0.001,1849,,,
,0.001,1899,,,
,0.001,1949,,,
,0.001,1999,,,
1,,1999,,,52.289730072021484
1,,1999,,81.3081283569336,
,0.001,2049,,,
,0.001,2099,,,
,0.001,2149,,,
,0.001,2199,,,
,0.001,2249,,,
,0.001,2299,,,
,0.001,2349,,,
,0.001,2399,,,
,0.001,2449,,,
,0.001,2499,,,
,0.001,2549,,,
,0.001,2599,,,
,0.001,2649,,,
,0.001,2699,,,
,0.001,2749,,,
,0.001,2799,,,
,0.001,2849,,,
,0.001,2899,,,
,0.001,2949,,,
,0.001,2999,,,
2,,2999,,,60.23847961425781
2,,2999,,36.10857009887695,
,0.001,3049,,,
,0.001,3099,,,
,0.001,3149,,,
,0.001,3199,,,
,0.001,3249,,,
,0.001,3299,,,
,0.001,3349,,,
,0.001,3399,,,
,0.001,3449,,,
,0.001,3499,,,
,0.001,3549,,,
,0.001,3599,,,
,0.001,3649,,,
,0.001,3699,,,
,0.001,3749,,,
,0.001,3799,,,
,0.001,3849,,,
,0.001,3899,,,
,0.001,3949,,,
,0.001,3999,,,
3,,3999,,,38.666709899902344
3,,3999,,33.21857452392578,
,0.001,4049,,,
,0.001,4099,,,
,0.001,4149,,,
,0.001,4199,,,
,0.001,4249,,,
,0.001,4299,,,
,0.001,4349,,,
,0.001,4399,,,
,0.001,4449,,,
,0.001,4499,,,
,0.001,4549,,,
,0.001,4599,,,
,0.001,4649,,,
,0.001,4699,,,
,0.001,4749,,,
,0.001,4799,,,
,0.001,4849,,,
,0.001,4899,,,
,0.001,4949,,,
,0.001,4999,,,
4,,4999,,,38.420310974121094
4,,4999,,31.832927703857422,
,0.001,5049,,,
,0.001,5099,,,
,0.001,5149,,,
,0.001,5199,,,
,0.001,5249,,,
,0.001,5299,,,
,0.001,5349,,,
,0.001,5399,,,
,0.001,5449,,,
,0.001,5499,,,
,0.001,5549,,,
,0.001,5599,,,
,0.001,5649,,,
,0.001,5699,,,
,0.001,5749,,,
,0.001,5799,,,
,0.001,5849,,,
,0.001,5899,,,
,0.001,5949,,,
,0.001,5999,,,
5,,5999,,,45.32981491088867
5,,5999,,30.847082138061523,
,0.001,6049,,,
,0.001,6099,,,
,0.001,6149,,,
,0.001,6199,,,
,0.001,6249,,,
,0.001,6299,,,
,0.001,6349,,,
,0.001,6399,,,
,0.001,6449,,,
,0.001,6499,,,
,0.001,6549,,,
,0.001,6599,,,
,0.001,6649,,,
,0.001,6699,,,
,0.001,6749,,,
,0.001,6799,,,
,0.001,6849,,,
,0.001,6899,,,
,0.001,6949,,,
,0.001,6999,,,
6,,6999,,,49.3289794921875
6,,6999,,30.11189842224121,
,0.001,7049,,,
,0.001,7099,,,
,0.001,7149,,,
,0.001,7199,,,
,0.001,7249,,,
